iteration,mg,algorithm,episode_reward,display_reward
413,1,F-MADRL,-25574.64606864857,-25568.427972449383
414,1,F-MADRL,-26029.74171396601,-25603.260863925727
415,1,F-MADRL,-25679.74652115341,-25533.50595419759
416,1,F-MADRL,-23882.46899341189,-25411.24845806414
417,1,F-MADRL,-25845.899952172174,-25344.124484145334
418,1,F-MADRL,-24199.6326987874,-25266.375468676095
419,1,F-MADRL,-25842.95933942324,-25207.153811640004
420,1,F-MADRL,-23640.42140078298,-25101.374408138916
421,1,F-MADRL,-23997.705052239457,-25089.0749617294
422,1,F-MADRL,-27406.3926174253,-25286.95400899995
423,1,F-MADRL,-28984.203303499657,-25446.989397440193
424,1,F-MADRL,-26056.543403168485,-25519.37881928429
425,1,F-MADRL,-26651.925704331275,-25550.477710987576
426,1,F-MADRL,-23681.175965921862,-25531.007434370076
427,1,F-MADRL,-23803.26961159787,-25426.352437242054
428,1,F-MADRL,-26321.80339579203,-25474.852565130033
429,1,F-MADRL,-25998.6048707058,-25457.48124084553
430,1,F-MADRL,-26291.45060809328,-25485.34972433388
431,1,F-MADRL,-27578.343985994536,-25586.4774502323
432,1,F-MADRL,-23716.189662315577,-25529.393991784626
433,1,F-MADRL,-25576.62265022613,-25555.544607495776
434,1,F-MADRL,-24282.68273685509,-25496.753204270895
435,1,F-MADRL,-25192.77360602886,-25532.437081529082
436,1,F-MADRL,-24341.536863910424,-25521.484263654114
437,1,F-MADRL,-23896.138449581777,-25378.915167041323
438,1,F-MADRL,-25692.546901667723,-25383.63120036209
439,1,F-MADRL,-24316.22689174608,-25315.090607473292
440,1,F-MADRL,-25035.252650770395,-25289.31085265797
441,1,F-MADRL,-25059.3636609244,-25336.386639358472
442,1,F-MADRL,-24025.39606944861,-25263.56648404953
443,1,F-MADRL,-23247.64848792096,-25225.487115614877
444,1,F-MADRL,-26848.490944963,-25265.70837983646
445,1,F-MADRL,-23345.63610511711,-25253.91696800983
446,1,F-MADRL,-24775.81360465232,-25285.041310106342
447,1,F-MADRL,-26152.71803037221,-25234.894326624217
448,1,F-MADRL,-24286.75365017095,-25046.996340491067
449,1,F-MADRL,-24182.655428071837,-24972.040821487204
450,1,F-MADRL,-22324.373417021787,-24798.93872999483
451,1,F-MADRL,-26841.88233977309,-24925.366984948876
452,1,F-MADRL,-23997.747542814628,-24933.14610219755
453,1,F-MADRL,-24771.93904213017,-24871.151528051072
454,1,F-MADRL,-23639.024554701296,-24776.76831541089
455,1,F-MADRL,-24828.679810850776,-24718.25748352119
456,1,F-MADRL,-26219.64224366829,-24663.909413828143
457,1,F-MADRL,-22346.988742516554,-24609.141377036176
458,1,F-MADRL,-24784.91340997236,-24577.47300742603
459,1,F-MADRL,-23559.516305183806,-24548.546350159173
460,1,F-MADRL,-24422.61790164088,-24517.740121983654
461,1,F-MADRL,-26057.906681633485,-24586.39491469258
462,1,F-MADRL,-24520.002326080383,-24611.34946975252
463,1,F-MADRL,-25351.226719423463,-24597.69666246275
464,1,F-MADRL,-22078.09154027228,-24508.1712484038
465,1,F-MADRL,-23325.89600905507,-24439.79698273519
466,1,F-MADRL,-23398.302608357582,-24373.354540632517
467,1,F-MADRL,-25245.177891659478,-24422.14581352095
468,1,F-MADRL,-25656.088674964343,-24518.483421002682
469,1,F-MADRL,-25081.597086658923,-24447.80766667052
470,1,F-MADRL,-22361.12598128812,-24408.427261717363
471,1,F-MADRL,-23757.28455446312,-24367.686099709794
472,1,F-MADRL,-22986.291445068684,-24241.029036297652
473,1,F-MADRL,-22851.72267059416,-24183.627797114583
474,1,F-MADRL,-23742.038260180045,-24166.00311039891
475,1,F-MADRL,-23041.19405616138,-24194.675935964497
476,1,F-MADRL,-24667.315723533266,-24107.693271314904
477,1,F-MADRL,-22094.941629015146,-24031.58103476292
478,1,F-MADRL,-23946.3230047074,-23998.55639326601
